Species	Probability	Percentage
Academic	0.166666667	0.166666667
"Actors, directors, and producers"	0.16091954	0.16091954
Architect	0.005747126	0.005747126
Designer	0.034482759	0.034482759
Fashion Designer	0.189655172	0.189655172
Fine Artist	0.114942529	0.114942529
Illustrator & Animators	0.034482759	0.034482759
Musician	0.109195402	0.109195402
Photographer	0.040229885	0.040229885
"World Leader, politician or activist"	0.074712644	0.074712644
Writer	0.063218391	0.063218391
Athlete	0.005747126	0.005747126
