Species	Probability	Percentage	
American	0.770114943	0.004425948	134
Antiguan-American	0.005747126	3.30295E-05	1
Australian	0.005747126	3.30295E-05	1
Brazilian	0.005747126	3.30295E-05	1
Canadian	0.005747126	3.30295E-05	1
Chinese	0.022988506	0.000132118	4
Colombian-American	0.005747126	3.30295E-05	1
Cuban-American	0.005747126	3.30295E-05	1
English	0.005747126	3.30295E-05	1
German	0.017241379	9.90884E-05	3
Hong Kong	0.005747126	3.30295E-05	1
Indian	0.011494253	6.60589E-05	2
Iranian	0.005747126	3.30295E-05	1
Israeli	0.028735632	0.000165147	5
Italian-American	0.005747126	3.30295E-05	1
Japanese	0.017241379	9.90884E-05	3
South Korean	0.017241379	9.90884E-05	3
Liberian	0.005747126	3.30295E-05	1
Lithuanian-American	0.005747126	3.30295E-05	1
Malasyian	0.005747126	3.30295E-05	1
Mexican-American	0.005747126	3.30295E-05	1
Namibian	0.005747126	3.30295E-05	1
Nepalese-American	0.005747126	3.30295E-05	1
Panamenian	0.005747126	3.30295E-05	1
Sierra Leon	0.005747126	3.30295E-05	1
Swiss	0.005747126	3.30295E-05	1
Taiwan-Canadian	0.005747126	3.30295E-05	1
			
Total			174
